ticket_external_ref,author_email,body,created_at
J-0001,alex@yourcompany.com,Thanks for the report—can you share a 10–15s clip of the ignition attempt?,2025-09-08T15:40:46
J-0001,sam@yourcompany.com,We’ve seen this at altitude. Please try opening the gas valve slightly more and confirm.,2025-08-03T15:40:46
J-0001,alex@yourcompany.com,Could you confirm if the inline filter was cleaned before the test?,2025-08-21T15:40:46
J-0002,taylor@yourcompany.com,Thanks for the report—can you share a 10–15s clip of the ignition attempt?,2025-09-09T15:40:46
J-0002,alex@yourcompany.com,We’ve seen this at altitude. Please try opening the gas valve slightly more and confirm.,2025-08-28T15:40:46
J-0003,sam@yourcompany.com,Reproduced internally. Investigating regulator behavior in low temps.,2025-07-23T15:40:46
J-0003,sam@yourcompany.com,Could you confirm if the inline filter was cleaned before the test?,2025-07-31T15:40:46
J-0003,taylor@yourcompany.com,Thanks for the report—can you share a 10–15s clip of the ignition attempt?,2025-08-16T15:40:46
J-0004,alex@yourcompany.com,We’ve seen this at altitude. Please try opening the gas valve slightly more and confirm.,2025-08-04T15:40:46
J-0005,taylor@yourcompany.com,Thanks for the report—can you share a 10–15s clip of the ignition attempt?,2025-09-04T15:40:46
J-0006,taylor@yourcompany.com,We’ve seen this at altitude. Please try opening the gas valve slightly more and confirm.,2025-09-07T15:40:46
J-0006,alex@yourcompany.com,We’ve seen this at altitude. Please try opening the gas valve slightly more and confirm.,2025-08-23T15:40:46
J-0007,taylor@yourcompany.com,Replacement shipment created. Tracking will be added once the label scans.,2025-08-18T15:40:46
J-0008,alex@yourcompany.com,Docs updated with a troubleshooting step; linking internally for QA.,2025-07-16T15:40:46
J-0008,taylor@yourcompany.com,Reproduced internally. Investigating regulator behavior in low temps.,2025-08-20T15:40:46
J-0008,taylor@yourcompany.com,Reproduced internally. Investigating regulator behavior in low temps.,2025-07-28T15:40:46
J-0009,sam@yourcompany.com,Docs updated with a troubleshooting step; linking internally for QA.,2025-08-16T15:40:46
J-0009,jordan@yourcompany.com,We’ve seen this at altitude. Please try opening the gas valve slightly more and confirm.,2025-08-01T15:40:46
J-0010,jordan@yourcompany.com,Reproduced internally. Investigating regulator behavior in low temps.,2025-07-19T15:40:46
J-0010,devon@yourcompany.com,Could you confirm if the inline filter was cleaned before the test?,2025-08-21T15:40:46
J-0011,taylor@yourcompany.com,Docs updated with a troubleshooting step; linking internally for QA.,2025-08-30T15:40:46
J-0012,taylor@yourcompany.com,Docs updated with a troubleshooting step; linking internally for QA.,2025-07-31T15:40:46
J-0012,sam@yourcompany.com,Thanks for the report—can you share a 10–15s clip of the ignition attempt?,2025-07-26T15:40:46
J-0013,sam@yourcompany.com,Could you confirm if the inline filter was cleaned before the test?,2025-09-01T15:40:46
J-0013,devon@yourcompany.com,Reproduced internally. Investigating regulator behavior in low temps.,2025-08-08T15:40:46
J-0014,devon@yourcompany.com,Thanks for the report—can you share a 10–15s clip of the ignition attempt?,2025-08-03T15:40:46
J-0015,taylor@yourcompany.com,Replacement shipment created. Tracking will be added once the label scans.,2025-09-09T15:40:46
J-0016,alex@yourcompany.com,Could you confirm if the inline filter was cleaned before the test?,2025-08-01T15:40:46
J-0016,taylor@yourcompany.com,Replacement shipment created. Tracking will be added once the label scans.,2025-08-02T15:40:46
J-0017,taylor@yourcompany.com,Could you confirm if the inline filter was cleaned before the test?,2025-08-07T15:40:46
J-0018,sam@yourcompany.com,We’ve seen this at altitude. Please try opening the gas valve slightly more and confirm.,2025-07-19T15:40:46
J-0019,jordan@yourcompany.com,Could you confirm if the inline filter was cleaned before the test?,2025-07-14T15:40:46
J-0019,sam@yourcompany.com,Replacement shipment created. Tracking will be added once the label scans.,2025-08-31T15:40:46
J-0019,alex@yourcompany.com,Replacement shipment created. Tracking will be added once the label scans.,2025-07-22T15:40:46
J-0020,jordan@yourcompany.com,Docs updated with a troubleshooting step; linking internally for QA.,2025-08-11T15:40:46
J-0021,devon@yourcompany.com,Thanks for the report—can you share a 10–15s clip of the ignition attempt?,2025-07-25T15:40:46
J-0022,taylor@yourcompany.com,Could you confirm if the inline filter was cleaned before the test?,2025-08-31T15:40:46
J-0023,jordan@yourcompany.com,Reproduced internally. Investigating regulator behavior in low temps.,2025-08-16T15:40:46
J-0024,devon@yourcompany.com,We’ve seen this at altitude. Please try opening the gas valve slightly more and confirm.,2025-09-03T15:40:46
J-0024,jordan@yourcompany.com,Could you confirm if the inline filter was cleaned before the test?,2025-09-02T15:40:46
